EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status..................................,
2651023,1,1/12/1978,1,44.9,176.1,26,10,1,1,0,1410.199951,1,0,0,0,18.8,9.3,19,10,0,0,0,0,0,0,6.7,7.4,2.8,0,0,0,0,0,0,26.2,0,31,44.9,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/1/1979,1,8.8,23.5,27,5,1,1,0,1943.800049,1,0,2.3,4,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,2.8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/2/1979,1,72.8,185,25,11,1,1,0,1943.800049,1,0,0,0,0,0,0,0,0,0.8,4.6,0,0,14.8,0,0,0,0,7.8,2.5,12.8,31.5,0,0,20,72.8,8.6,0,8.8,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,...
2651023,1,1/3/1979,1,34.8,99.3,10,6,1,1,0,1943.800049,1,0,0,0,0,0,4,0,0,17.2,34.8,0,33,0,7.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/4/1979,1,51,132.4,3,8,1,1,0,1943.800049,1,0,0,51,14.2,9.2,0,0,0,0,0,0,0,0,6.2,0,10.2,13.6,15.2,0,0,0,0,0,0,0,0,0,0,0,12.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/5/1979,1,100,385.6,9,13,1,1,0,1943.800049,1,0,0,0,71,0,0,0,12.4,100,6,0,45.4,47,54,0,0,0,1.4,0,0,1.2,0,26.2,2,0,0,0,0,14.2,4.8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/6/1979,1,5.4,12.1,25,4,1,1,0,1943.800049,1,0,0,0,0,0,0,1.6,1.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651023,1,1/7/1979,1,26.5,105.6,26,9,1,1,0,1943.800049,1,0,0,17.2,0,0,2.8,0,26.2,4.5,2.8,0,0,0,0,2.2,0,0,0,0,0,22.4,0,0,0,0,26.5,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/8/1979,1,22.8,69.3,15,6,1,1,0,1943.800049,1,0,0,0,0,0,3.3,0,0,0,0,0,2.4,0,0,22.8,0,6.6,21.6,0,0,0,0,0,0,0,12.6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651023,1,1/9/1979,1,54.8,181.2,14,7,1,1,0,1943.800049,1,0,21.2,0,0,0,0,0,0,0,2.6,46,0,0,54.8,0,0,0,0,0,0,0,32,0,0,0,0,0,0,20.4,4.2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
