EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status.................................,
2651028,1,1/9/1979,1,42.5,158,13,8,1,1,1,,,26,0,3,0,0,0,0,0,0,13,0,0,42.5,0,0,0,0,0,0,0,0,35,0,0,10,0,0,13,15.5,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/10/1979,1,,,,,,,,,,9,0,0,0,10,70,61,13.5,,,,,,,,,,,55,0,0,0,8.5,0,12.5,43,0,25,8,31,16,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,............
2651028,1,1/11/1979,1,58,147.4,18,8,1,1,1,,,0,16,0,0,0,0,0,6,4.2,22,0,0,0,0,0,16,0,58,0,0,0,0,0,12,13.2,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/12/1979,1,40,201.4,13,12,1,1,1,,,26,0,0,37,0,0,0,0,3,0,9,0,40,7.5,0,0,6,0,0,26,4.2,3,0,0,0,0,0,0,0,16.5,23.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/1/1980,1,41.2,115.2,7,7,1,1,1,,,0,0,0,0,0,0,41.2,0,15,0,0,0,0,0,0,0,0,3,12,1,0,0,0,40,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/2/1980,1,45.8,134.9,29,10,1,1,1,,,18,0,0,0,0,0,0,8.8,0,0,5.5,8,0,0,0,0,20.8,0,7,0,0,0,15,0,0,2,4,0,45.8,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,..
2651028,1,1/3/1980,1,50.1,224.2,1,8,1,1,1,,,50.1,7,0,0,24.5,0,0,0,0,40.3,43,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,10.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/4/1980,1,40.8,69.8,13,3,1,1,1,,,0,0,0,0,0,0,0,0,0,18,0,0,40.8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/5/1980,1,93,180.6,10,6,1,1,1,,,0,7.8,0,0,0,0,0,0,19,93,0,0,0,0,0,28,0,14.8,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/6/1980,1,26,79,30,5,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3.2,0,25,6.8,0,0,0,0,0,0,0,26,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
