EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2651020,1,1/2/79,1,46.4,160,25,11,1,1,0,192.459.997.558.594,1,0,0,0,0,0,0,0,0,2.6,13.8,0,9.2,9.6,1.6,0,0,0,2,9,0,0,31,0,30.8,46.4,4,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2651020,1,1/3/79,1,38.2,103.6,12,9,1,1,0,192.459.997.558.594,1,6,0,0,0,0,2,0,4.8,2.8,38,0,38.2,2,4.6,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/4/79,1,50,141.2,3,11,1,1,0,192.459.997.558.594,1,0,0,50,16.8,8.2,3.8,0,0,0,0,0,0,4,1,0,7.2,12.6,21.4,0,0,0,0,0,0,1,0,0,0,0,15.2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/5/79,1,114,400.6,9,11,1,1,0,192.459.997.558.594,1,0,0,0,74.4,0,0,15,22.4,114,1,0,48.6,42.6,44,0,0,0,0,2.6,0,0,0,23.2,0,0,0,0,0,12.8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/6/79,1,7.8,12.8,25,2,1,1,0,192.459.997.558.594,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/7/79,1,26.2,89.2,10,11,1,1,0,192.459.997.558.594,1,0,0,14.2,0,0,2.8,0,0,0,26.2,0.2,0,0,0,0,2.2,0,0,16.4,2,0.8,0,0,0,1.4,22.6,0.4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/8/79,1,40.8,122.4,17,10,1,1,0,192.459.997.558.594,1,0,1,0,0,3.2,0,0,0,0,0,0,1.2,0,0,20,14.4,40.8,24.8,5,1,0,0,0,0,0,11,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/9/79,1,44.2,176.4,11,7,1,1,0,192.459.997.558.594,1,0,18,0,0,0,0,0,0,0,4.6,44.2,0,12,35.4,0,0,0,0,0,0,0,0,37.4,0,0,0,0,0,0,24.8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/10/79,1,72.8,353,29,13,1,1,0,192.459.997.558.594,1,6,18.8,2.8,0,0,9,50.2,35.6,0,0,0,0,0,39.8,0,0,0,0,0,0,0,0,0,6.8,34,26.8,0,31.8,72.8,18.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/11/79,1,42.4,168.4,18,11,1,1,0,192.459.997.558.594,1,0,5.2,0,0,0,0,0,39.4,8.4,28.4,5.2,1,0,0,0,0,16.6,42.4,5.4,0,0,0,0,3.2,13.2,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
